Ticari Isim,Etken Madde,Formulasyon
BİOPHEROPOİNT FRO (İTHAL),5 mg Neryl S-2-methylbutanoate + Mavi yapışkan tuzak,--- (-)
BİOPHEROPOİNT TUA (İTHAL),"1 mg (%95 E3, Z8, Z11-Tetradecatrienyl Acetate+% 5 E3, Z8-Tetradecatrienyl Acetate)",--- (-)
IPOMAN 20 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NARINCI (İMAL),220 g/l Spirotetramat + 100 g/l Pyriproxyfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
INPLANNER (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
NIPIGON 100 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RAZENGA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUSTAC (İTHAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
XANTEN 800 (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
MAGRIS (İTHAL),"0,0075 g Lambda cyhalothrin +%74,75 Ammonium acetate+%8,31 Trimethylamine hydrochloride+%0,33 1,4Diaminobutane+Tuzak",--- (-)
TOMBSTONE (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TEAMSPRAY (İTHAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
VACCIPLANT (İTHAL),45 g/l Laminarin,SL (Suda Çözünen Konsantre)
SPİRTNEY (İTHAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
CRUZADO WG (İMAL),%50 Boscalid,WG (Suda Dağılabilen Granül)
ANTVON 25 EC (İMAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
HOEDUS (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYPLAN (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
STARİCA (İMAL),480 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ETERYUM SC 465 (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
ATHUM 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYHAN EC (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
DİXİON (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
ABG WOODY (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
TAİTONA OD (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
ABG STORR (İMAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre)
KOBLENZ 222 SC (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EVEROLE (İTHAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre)
ANZO 35 DS (İMAL),%35 Metalaxyl,DS (Kuru Tohum İlacı)
RAGANA (İMAL),%80 Captan,WG (Suda Dağılabilen Granül)
HELİCOPP (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
BUSHNELL (İMAL),300 g/l Cyprodinil,EC (Emülsiye Olabilen Konsantre)
TRENDEX (İMAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre)
MAK-BLUMIX BORDO (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz)
CİLLER (İMAL),200 g/l Boscalid + 100 g/l Kresoxim-methyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TSUMURA (İMAL),125 g/l Tefuryltrione + 120 g/l Oxaziclomefone + 60 g/l Penoxsulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ONUDİS OD 66 (İTHAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
ABG TİSAN (İMAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
RIDOWN (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
KİMBLE WG 85 (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
SAFA MASTER (İMAL),"45 g/l Pinoxaden + 5 g/l Florasulam + 11,25 g/l Cloquintocet-mexyl (safener)",EC (Emülsiye Olabilen Konsantre)
ROYULUS 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
ROYSALM OD (İMAL),30 g/l Mesosulfuron methyl + 6 g/l Iodosulfuron-methyl-sodium + 90 g/l Mefenpyr diethyl (safener),OD (Yağda Dağılabilen)
FLUANTIN (İTHAL),"25,2 g/l Penoxsulam",OD (Yağda Dağılabilen)
ARDEAT (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
MORETTA OD (İMAL),30 g/l Mesosulfuron methyl + 6 g/l Iodosulfuron-methyl-sodium + 90 g/l Mefenpyr diethyl (safener),OD (Yağda Dağılabilen)
TACOMEN 66 OD (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
KİNG'S GLORY (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MINTAKA (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre)
BOTRES (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
GERARDO (İMAL),"12,5 g/l Fludioxonil + 5 g/l Metalaxyl",SC (Akıcı Konsantre/Süspansiyon Konsantre)
PATRONOGEN (İMAL),480 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TRALOKS 20 WG (İMAL),%20 Flubendiamide,WG (Suda Dağılabilen Granül)
SAMSARA 40 OD (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
ROY-X (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
FULL LOAD (İMAL),"30 g/l Clodinafop-propargyl + 7,5 g/l Florasulam + 30 g/l Pinoxaden + 7,5 Cloquintocet-mexyl (Safener)",EC (Emülsiye Olabilen Konsantre)
SEPRAIN (İTHAL),240 g/l Spiromesifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JANİSSARY 500 WG (İMAL),%50 Sulfoxaflor,WG (Suda Dağılabilen Granül)
REDMİX SC (İMAL),100 g/l Lambda-cyhalothrin + 100 g/l Lufenuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DUCALE (İMAL),200 g/l Bromoxynil octanoate + 200 g/l MCPA,EC (Emülsiye Olabilen Konsantre)
PECTOWN (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
KUYOSH 120 OD (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
STUARD 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
DIMEAN (İTHAL),%25 Rimsulfuron,WG (Suda Dağılabilen Granül)
CLOGOLD (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
CANTONA (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
ZUMA (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
TAKCAPTAN 500 SC (İMAL),500 g/l Captan,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MUNGAN (İMAL),%80 Captan,WG (Suda Dağılabilen Granül)
ORİENTALİA %5 EW (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
ROLEN (İTHAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
PESTSENTRY EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
PROTONE 20 SG (İTHAL),% 20 S-Absisik asit,SG (Suda Çözünen Granül)
IMMETAR (İTHAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
CONDUCTOR 480 EC (İTHAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
BEETROOT (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
MAKROCK (İMAL),200 g/l Acetamiprid,SL (Suda Çözünen Konsantre)
ODEGAARD SE (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
ROYTACO SE (İMAL),270 g/l Terbuthylazine + 64 g/l Pendimethalin,SE (Suspo-Emülsiyon)
NOVAMEC 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CLOTOX (İMAL),%50 Captan,WP (Islanabilir Toz)
RUSTEND (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
FİLYOS (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
"STARELLA 116,2 EC (İMAL)","116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
CARICE 240 EC (İMAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
OPİCON 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre)
SONTAKIPP 61 WG (İMAL),%30 Foramsulfuron + %1 Iodosulfuron methyl-sodium + %30 Isoxadifen-ethyl (safener),WG (Suda Dağılabilen Granül)
FORIDE (İTHAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
WALTER 765 SC (İMAL),720 g/l Ethephon + 45 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LAFONTENCE OD (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
POCERA 200 SL (İMAL),200 g/l Acetamiprid,SL (Suda Çözünen Konsantre)
TENEDOS (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYAGMA OF 120 (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
MAYUCA 320 SC (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MERINDO (İTHAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
NODUTUS (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
LİNMORE (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
SUV-AGRİ 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUXOM 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
LEBEDUS 50 EC (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre)
RETAMAR EC (İMAL),250 g/l Piperonly Butoxide + 25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
ORKAN 500 SC (İMAL),500 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OMANYTE 800 (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
OPRAH (İMAL),120 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
ROYMECH 50 EC (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
NEWDELECT (İMAL),"116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
ACLOVAP (İTHAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JUNKO 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
SAFA STYLE (İMAL),300 g/l Pendimethalin + 60 g/l Flufenacet,EC (Emülsiye Olabilen Konsantre)
FLEXCIDE (İTHAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre)
OKUSA (İTHAL),220 g/l Boscalid + 65 g/l Cyprodinil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEFİLONE (İMAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre)
GREEDY (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
ROYFİX 50 SL (İMAL),50 g/l Mepiquat Chloride,SL (Suda Çözünen Konsantre)
HASIL 20 WG (İMAL),%20 Flubendiamide,WG (Suda Dağılabilen Granül)
MERFLURD (İTHAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
HARMAN BORDO WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz)
CLOGMA (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
BOLAMAN (İMAL),240 g/l Spiromesifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEMATOZATE 900 EC (İMAL),900 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
ROYKUM 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
KASAVAKİ (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
ENTOJEN (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
STRADA (İMAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen)
TAPURA (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAKİMSAN ESTER'H (İMAL),"480 g/l 2,4-D asite eşdeğer Isooctylester",EC (Emülsiye Olabilen Konsantre)
GULET 108 EC (İMAL),108 g/l Haloxyfop-P-methyl ester,EC (Emülsiye Olabilen Konsantre)
TOMARİS (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
HOORİ (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
REVİNAL (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
ROYZOX SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LANDEMİS SC 480 (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
SILVZOLE (İTHAL),250 g/l Tebuconazole,EC (Emülsiye Olabilen Konsantre)
PUKE (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
ROYVENTO (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GENITOP 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
PICOCARB (İTHAL),"625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre)
FONT (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
PRIAPUS (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
CLORITA (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABAMET 18 EC (İTHAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
KOKYTOS 720 (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
DİMİTSAL (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
MOJAVE 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
SKYROBİN (İTHAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VITMEDFLY (İTHAL),2 g Trimedlure + Delta tipi tuzak,--- (-)
NOLON 25 WP (İTHAL),%25 Tebuconazole,WP (Islanabilir Toz)
GENINT 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
RUGANİL (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SFORZA (İTHAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZALPUWA 250 SC (İMAL),250 g/l Mandipropamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SİMBA (İMAL),400 g/l Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MORCAP 80 WG (İMAL),%80 Captan,WG (Suda Dağılabilen Granül)
ZAARAKOS 62.5 WG (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
PERFURE (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
GURNARD (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
PANOL 722 SL (İTHAL),722 g/l Propamocarb-hydrochloride,SL (Suda Çözünen Konsantre)
MAVITROXI 361 SC (İTHAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
STARLIGHT (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
OKTAV 405 SC (İMAL),310 g/l Pyrimethanil + 95 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CHONG 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
LIONESS (İTHAL),180 g/l Metalik bakıra eşdeğer tribazik bakır sülfat + 120 g/l Metalik bakıra eşdeğer bakır hidroksit,SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
PERLANTİS 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
ROYFURON OD (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
FROLLO (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
LEUKE (İMAL),"51,4 g/l Metalik Bakıra eşdeğer Yağ ve Rosin Asitlerinin Bakır Tuzları",EC (Emülsiye Olabilen Konsantre)
CUPRA CARE 50 WP (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP(Sadece bakırlı preparatlar) (Islanabilir toz)
NEKTEC (İTHAL),"7,8 g Amonyum asetat + 1,04 g Trimethylamine hydrochloride + 0,034 g Kadaverin (1,5-diaminopentane)+0,015 g Deltamethrin+ Tuzak",--- (-)
RABİLOX 800 (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
FRSKARAOK (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
ACS WEEDEND (İMAL),"69 g/l Fenoxaprop-p-ethyl + 34,5 g/l Cloquintocet-mexyl (safener)","EW (Emülsiyon, Suda Yağ)"
LIEGE (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
GURSO 50 WG (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
HAVOC (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
LAST GİBB 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
EFDAL ATRAK (İMAL),%50 Dicamba + %25 Tritosulfuron,WG (Suda Dağılabilen Granül)
DELGADO SE (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
LENTUT 70 WG (İMAL),%70 Dithianon,WG (Suda Dağılabilen Granül)
FASTCUT 85 WG (İMAL),"%7,08 Pyroxsulam + %1,42 Florasulam + %7,08 Cloquintocet-mexyl (safener)",WG (Suda Dağılabilen Granül)
ASTRİM 48 EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
JADA (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
WATTAN (İMAL),%12 Dithianon + %4 Pyraclostrobin,WG (Suda Dağılabilen Granül)
VİT TYP (İTHAL),"4120 mg Methylbutenol+2,5 mg Ipsdienol+200 mg Cis-Verbenol+Kanada tipi üç hunili tuzak",--- (-)
CUMOX 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JARVIS 85 WG (İMAL),"%7,08 Pyroxsulam + %1,42 Florasulam + %7,08 Cloquintocet-mexyl (safener)",WG (Suda Dağılabilen Granül)
GEFORMT EC 880 (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre)
TRANSOL SC (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
KASETTİN (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NIDELVA 250 SC (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CNIFE (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ŞAMAS (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CAVİNALİ (İMAL),400 g/l Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEGMENTE (İMAL),%35 Metalaxyl,DS (Kuru Tohum İlacı)
NOCERINO (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
"ALONSİS 2,5 EC (İTHAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
WISDOM 250 EC (İTHAL),250 g/l Pyraclostrobin,EC (Emülsiye Olabilen Konsantre)
BLADE SC 500 (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NOCETA WG (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
BURNLEY (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
NİLİPEC (İMAL),%14 Metalik bakıra eşdeğer bakır hidroksit + %14 Metalik bakıra eşdeğer bakır oksiklorid,"WG ""Sadece bakırlı preparatlar"" (Suda Dağılabilen Granül)"
TRAMPET 5 EW (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
RICKY EW (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
RIVALDO 500 SC (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PUKKA 500 SC (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SHOGUN 700 SC (İMAL),700 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZONTO 10 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AZKER (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
"FULLFILL 687,5 SC (İMAL)","625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre)
FRSJUNO (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
LAMPE (İMAL),100 g/l Tetraconazole,EC (Emülsiye Olabilen Konsantre)
MENTA MASTER PRO (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
NAYROBİ (İMAL),%25 Thiophanate-methyl + %15 Etridiazole,WP (Islanabilir Toz)
VALFENE 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
IMADAX (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FUNARIUM (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALTUVA (İMAL),%60 Diflufenican + %6 Metsulfuron-methyl,WG (Suda Dağılabilen Granül)
BONFİRE WP (İMAL),"%22,5 Metalik bakıra eşdeğer bordo bulamacı + %3 Cymoxanil",WP(Sadece bakırlı preparatlar) (Islanabilir toz)
PESARO 80 WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
CUPRAZZA 700 SC (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
MEPEAK (İTHAL),%55 Metiram + %5 Pyraclostrobin,WG (Suda Dağılabilen Granül)
LEGNU 320 SC (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GENADRIS 25 SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HAMERON WG (İMAL),%75 Sulfosulfuron + %5 Metsulfuron-methyl,WG (Suda Dağılabilen Granül)
LAUSENOL 30 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAKONHOL 320 SC (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALETA (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
NIASOS 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
BRACKET (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
FRSCIDA (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RAXOR (İMAL),"24 g/l Spinosad + 1,8 g/l Abamectin",OD (Yağda Dağılabilen)
TAPIWA (İMAL),124 g/l Kresoxim-methyl + 83 g/l Tetraconazole,SE (Suspo-Emülsiyon)
TEFNUT (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
MUTUAL (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
NARILON 240 SC (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
